Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
A0A024R5S0	O75553		1600	A0A024R5S0	DAB1	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A0A024R5S0	P25788		5684	A0A024R5S0	PSMA3	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A0A024R5S0	Q02446		6671	A0A024R5S0	SP4	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A0A024R5S0	Q8N9W6		66037	A0A024R5S0	BOLL	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A0A024R5S0	Q9NVV9		55145	A0A024R5S0	THAP1	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A0A024R6G0	P50222	27004	4223	TCL6	MEOX2	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A0A024RA76	A0A024RA76			A0A024RA76	A0A024RA76	25416956:0397:HT
A0A024RA76	O00560		6386	A0A024RA76	SDCBP	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A0A024RA76	Q14498		9584	A0A024RA76	RBM39	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A0A024RA76	Q8N9Q2		285672	A0A024RA76	SREK1IP1	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A0A024RA76	Q9NVV9		55145	A0A024RA76	THAP1	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A0A024RA76	Q9NZ81		54458	A0A024RA76	PRR13	25416956:1112:HT|25416956:0397:HT|25416956:1356:HT
A0AUZ9	Q96CV9	151050	10133	KANSL1L	OPTN	23414517:0399:HT
A0AV96	Q6P1W5	54502	84970	RBM47	C1ORF94	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A0AV96	Q96LI6	54502		RBM47	HSFY1;|HSFY2	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A0AVK6	Q01844	79733	2130	E2F8	EWSR1	20211142:0018:HT
A0AVK6	Q12800	79733	7024	E2F8	TFCP2	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A0AVK6	Q13643	79733	2275	E2F8	FHL3	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A0AVK6	Q8IUH5	79733	23390	E2F8	ZDHHC17	24705354:0397:HT|24705354:0018:HT
A0AVK6	Q8N653	79733	8216	E2F8	LZTR1	20211142:0018:HT
A0AVT1	O15198	55236	4093	UBA6	SMAD9	15231748:0018:HT|15657099:0064:LC
A0AVT1	Q6NT76	55236	79618	UBA6	HMBOX1	25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT
A0JLT2	F5CTF3	219541		MED19	F5CTF3	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
