Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
A0A5B4	A0A5B4			TCRBV2S1	TCRBV2S1	17268555:0114:LC
A0A5B9	A0A5B9	28638	28638	TRBC2	TRBC2	20483993:0114:LC
A0A5B9	P01848	28638	28755	TRBC2	TRAC	21297580:0114:LC|20921281:0114:LC|20483993:0114:LC|16505140:0114:LC|15837811:0114:LC
A0A5B9	Q31612	28638	3106	TRBC2	HLA-B	20483993:0114:LC
A0AVT1	O15198	55236	4093	UBA6	SMAD9	15231748:0018:HT|15657099:0064:LC
A0AVT1	O15205	55236	10537	UBA6	UBD	22427669:0415:LC|22427669:0096:LC|23036196:0004:LC|20975683:0018:LC
A0AVT1	Q9H832	55236	65264	UBA6	UBE2Z	20975683:0018:LC|24528925:0415:LC|22427669:0415:LC|17597759:0096:LC|19250909:0415:LC|20975683:0415:LC
A0FGR8	A0FGR8	57488	57488	ESYT2	ESYT2	24847877:0114:LC|24847877:1246:LC|23791178:0007:LC|24373768:0114:LC
A0JD37	A0JD37			HDV103S1	HDV103S1	9461220:0114:LC
A0JLT2	F5CTF3	219541		MED19	F5CTF3	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
A0JLT2	P25963	219541	4792	MED19	NFKBIA	16169070:0018:HT|15657099:0064:LC|16169070:0398:HT
A0JLT2	Q6P2C8	219541	9442	MED19	MED27	15175163:0007:LC|21729782:0004:LC|21729782:0007:LC|12584197:0004:LC|12584197:0096:LC|12584197:0492:LC|14576168:0007:LC|15175163:0004:LC
A0JLT2	Q96G25	219541	112950	MED19	MED8	15175163:0007:LC|21729782:0004:LC|14638676:0004:LC|21729782:0007:LC|12584197:0492:LC|14576168:0004:LC|14576168:0007:LC|15175163:0004:LC|14638676:0007:LC
A0JLT2	Q96JH8	219541	55698	MED19	RADIL	16169070:0018:HT|15657099:0064:LC
A0JLT2	Q9BTT4	219541	84246	MED19	MED10	15175163:0007:LC|14638676:0007:LC|14638676:0004:LC|15989967:0004:LC|24882805:0040:LC|12584197:0004:LC|21729782:0007:LC|15175163:0226:LC|12584197:0007:LC|14576168:0007:LC|15175163:0004:LC|21729782:0004:LC
