Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
A0A024R087	P61956		6613	A0A024R087	SUMO2	21252943:0004:LC|21693764:0004:LC
A0A024RC46	Q92731		2100	A0A024RC46	ESR2	21182203:0004:HT
A0AV96	Q92731	54502	2100	RBM47	ESR2	21182203:0004:HT
A0AVT1	O15205	55236	10537	UBA6	UBD	22427669:0415:LC|22427669:0096:LC|23036196:0004:LC|20975683:0018:LC
A0AVT1	P0CG48	55236	7316	UBA6	UBC	22427669:0096:LC|21906983:0004:LC|17550899:0004:LC|17580310:0004:LC|21139048:0004:LC|21890473:0004:LC|22427669:0415:LC|23003343:0686:LC|20639865:0004:LC
A0AVT1	P62837	55236	7322	UBA6	UBE2D2	17580310:0096:LC|17597759:0096:LC|19250909:0415:LC
A0FGR8	A0FGR8	57488	57488	ESYT2	ESYT2	24847877:0114:LC|24847877:1246:LC|23791178:0007:LC|24373768:0114:LC
A0FGR8	P0CG48	57488	7316	ESYT2	UBC	21890473:0004:LC|21987572:0004:LC|21139048:0004:LC
A0FGR8	Q9BSJ8	57488	23344	ESYT2	ESYT1	23791178:0007:LC|22119785:0004:LC|23791178:0663:LC
A0JLT2	A0JLT2	219541	219541	MED19	MED19	15175163:0007:LC|14638676:0007:LC|14638676:0004:LC|21729782:0007:LC|14576168:0007:LC|15175163:0004:LC|21729782:0004:LC
A0JLT2	O00472	219541	22936	MED19	ELL2	21729782:0007:LC|15175163:0007:LC
A0JLT2	O15514	219541	5433	MED19	POLR2D	21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	O43513	219541	9443	MED19	MED7	21729782:0007:LC|14576168:0007:LC|15175163:0004:LC|15175163:0007:LC
A0JLT2	O60244	219541	9282	MED19	MED14	14576168:0007:LC|21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	O75448	219541	9862	MED19	MED24	14576168:0007:LC|15175163:0004:LC|15175163:0007:LC
A0JLT2	O75586	219541	10001	MED19	MED6	15175163:0007:LC|21729782:0004:LC|21729782:0007:LC|23563140:0004:LC|14576168:0004:LC|14576168:0007:LC|15175163:0004:LC
A0JLT2	O95402	219541	9441	MED19	MED26	15175163:0007:LC|21729782:0004:LC|21729782:0007:LC|23563140:0004:LC|14576168:0007:LC|15175163:0004:LC
A0JLT2	P19387	219541	5432	MED19	POLR2C	21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	P19388	219541	5434	MED19	POLR2E	21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	P24863	219541	892	MED19	CCNC	15175163:0007:LC|15175163:0004:LC|23563140:0004:LC|21729782:0004:LC
A0JLT2	P24928	219541	5430	MED19	POLR2A	21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	P30876	219541	5431	MED19	POLR2B	21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	P36954	219541	5438	MED19	POLR2I	21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	P49336	219541	1024	MED19	CDK8	21729782:0007:LC|23563140:0004:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	P52434	219541	5437	MED19	POLR2H	21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	P52435	219541	5439	MED19	POLR2J	21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	P61218	219541	5435	MED19	POLR2F	21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	P62487	219541	5436	MED19	POLR2G	21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	P62875	219541	5441	MED19	POLR2L	21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	Q13503	219541	9412	MED19	MED21	14576168:0007:LC|21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	Q15528	219541	6837	MED19	MED22	14576168:0007:LC|15175163:0004:LC|15175163:0007:LC|14638676:0007:LC
A0JLT2	Q15648	219541	5469	MED19	MED1	15175163:0007:LC|21729782:0004:LC|14638676:0004:LC|15989967:0004:LC|21729782:0007:LC|20133760:0004:LC|14576168:0007:LC|15175163:0004:LC|14638676:0007:LC
A0JLT2	Q6IAZ5	219541		MED19	CRSP9	15175163:0004:LC|21729782:0004:LC
A0JLT2	Q71F56	219541	23389	MED19	MED13L	21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	Q71SY5	219541	81857	MED19	MED25	15175163:0007:LC|21729782:0004:LC|14638676:0004:LC|23563140:0004:LC|21729782:0007:LC|14576168:0007:LC|15175163:0004:LC
A0JLT2	Q93074	219541	9968	MED19	MED12	15175163:0007:LC|21729782:0004:LC|21729782:0007:LC|23563140:0004:LC|14576168:0007:LC|15175163:0004:LC
A0JLT2	Q96HR3	219541	90390	MED19	MED30	14576168:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	Q96RN5	219541	51586	MED19	MED15	21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC
A0JLT2	Q9BTT4	219541	84246	MED19	MED10	15175163:0007:LC|14638676:0007:LC|14638676:0004:LC|15989967:0004:LC|24882805:0040:LC|12584197:0004:LC|21729782:0007:LC|15175163:0226:LC|12584197:0007:LC|14576168:0007:LC|15175163:0004:LC|21729782:0004:LC
A0JLT2	Q9BUE0	219541	54797	MED19	MED18	15175163:0007:LC|21729782:0004:LC|14638676:0004:LC|21729782:0007:LC|14576168:0004:LC|14576168:0007:LC|15175163:0004:LC
A0JLT2	Q9BWU1	219541	23097	MED19	CDK19	23563140:0004:LC|15175163:0004:LC|15175163:0007:LC|15175163:0226:LC|21729782:0004:LC
A0JLT2	Q9H204	219541	80306	MED19	MED28	21729782:0007:LC|15175163:0004:LC|15175163:0007:LC|21729782:0004:LC|20133760:0004:LC
A0JLT2	Q9H944	219541	9477	MED19	MED20	15175163:0007:LC|21729782:0004:LC|21729782:0007:LC|14576168:0004:LC|14576168:0007:LC|15175163:0004:LC
A0JLT2	Q9NPJ6	219541	29079	MED19	MED4	15175163:0007:LC|14638676:0007:LC|14638676:0004:LC|21729782:0007:LC|14576168:0007:LC|15175163:0004:LC|21729782:0004:LC
A0JLT2	Q9NX70	219541	55588	MED19	MED29	15175163:0007:LC|21729782:0004:LC|14638676:0004:LC|21729782:0007:LC|14576168:0004:LC|14576168:0007:LC|15175163:0004:LC|24882805:0007:LC|14638676:0007:LC
